id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,lyrical_intensity,lyrical_theme,youtube_id
170,The Girl from Ipanema,Astrud Gilberto & Stan Getz,bossa nova,romantic,0.42,130,0.75,0.52,0.82,0.35,0.20,love,
171,Corcovado,Antonio Carlos Jobim,bossa nova,peaceful,0.30,105,0.68,0.40,0.90,0.55,0.00,none,
172,One Note Samba,Stan Getz & Joao Gilberto,bossa nova,chill,0.38,115,0.70,0.52,0.88,0.80,0.00,none,
173,On & On,Erykah Badu,neo-soul,chill,0.45,88,0.65,0.55,0.52,0.10,0.65,reflection,
174,Brown Sugar,D'Angelo,neo-soul,romantic,0.55,95,0.72,0.68,0.40,0.05,0.70,love,
175,Ex-Factor,Lauryn Hill,neo-soul,emotional,0.42,88,0.40,0.45,0.52,0.05,0.88,loss,
176,Sour Times,Portishead,trip-hop,dark,0.45,90,0.28,0.42,0.35,0.25,0.55,darkness,
177,Teardrop,Massive Attack,trip-hop,melancholic,0.40,98,0.38,0.48,0.38,0.40,0.45,loss,
178,Glory Box,Portishead,trip-hop,emotional,0.48,80,0.32,0.45,0.30,0.20,0.60,love,
179,Only Shallow,My Bloody Valentine,shoegaze,moody,0.65,155,0.30,0.52,0.20,0.60,0.20,abstract,
180,Alison,Slowdive,shoegaze,melancholic,0.48,112,0.35,0.42,0.32,0.50,0.35,love,
181,Leave Them All Behind,Ride,shoegaze,intense,0.70,132,0.38,0.55,0.18,0.65,0.25,abstract,
182,Blue Monday,New Order,new wave,moody,0.72,136,0.38,0.78,0.08,0.48,0.30,reflection,
183,This Must Be the Place,Talking Heads,new wave,happy,0.65,128,0.72,0.70,0.15,0.10,0.55,love,
184,Just Like Heaven,The Cure,new wave,nostalgic,0.62,150,0.68,0.68,0.12,0.12,0.40,love,
185,Superstition,Stevie Wonder,funk,fun,0.82,100,0.85,0.86,0.20,0.05,0.55,celebration,
186,Sex Machine,James Brown,funk,aggressive,0.80,125,0.78,0.84,0.15,0.05,0.45,celebration,
187,Give Up the Funk,Parliament,funk,fun,0.82,108,0.85,0.88,0.18,0.08,0.35,celebration,
188,Dynamite,BTS,k-pop,fun,0.85,114,0.88,0.88,0.10,0.05,0.40,celebration,
189,How You Like That,BLACKPINK,k-pop,aggressive,0.82,130,0.62,0.82,0.08,0.05,0.50,motivation,
190,Love Scenario,iKON,k-pop,happy,0.72,120,0.78,0.80,0.12,0.05,0.55,love,
191,Last Last,Burna Boy,afrobeats,melancholic,0.70,98,0.52,0.78,0.15,0.05,0.60,loss,
192,Essence,Wizkid ft. Tems,afrobeats,romantic,0.65,106,0.72,0.78,0.18,0.05,0.50,love,
193,Ye,Burna Boy,afrobeats,hopeful,0.62,112,0.68,0.72,0.20,0.08,0.55,motivation,
194,Plastic Love,Mariya Takeuchi,city pop,nostalgic,0.72,120,0.80,0.82,0.12,0.05,0.50,love,
195,Ride on Time,Tatsuro Yamashita,city pop,fun,0.75,124,0.82,0.84,0.10,0.05,0.40,celebration,
196,Stay With Me,Miki Matsubara,city pop,romantic,0.68,118,0.75,0.78,0.15,0.08,0.45,love,
197,Good Night,Toe,math rock,reflective,0.45,185,0.52,0.48,0.35,0.78,0.00,none,
198,Panda,TTNG,math rock,peaceful,0.38,195,0.55,0.45,0.45,0.82,0.00,none,
199,Never Meant,American Football,midwest emo,melancholic,0.35,100,0.28,0.38,0.65,0.08,0.75,reflection,
200,Parking Lot,Modern Baseball,midwest emo,sad,0.40,140,0.30,0.45,0.42,0.05,0.85,loss,
201,Megalovania,Toby Fox,video game ost,intense,0.92,120,0.65,0.72,0.05,0.92,0.00,none,
202,Hopes and Dreams,Toby Fox,video game ost,epic,0.85,120,0.78,0.65,0.08,0.90,0.00,none,
203,Dirtmouth,Christopher Larkin,video game ost,melancholic,0.18,72,0.32,0.20,0.85,0.98,0.00,none,
204,City of Tears,Christopher Larkin,video game ost,melancholic,0.30,85,0.28,0.25,0.78,0.97,0.00,none,
205,Weight of the World,Keiichi Okabe,video game ost,emotional,0.45,82,0.38,0.35,0.62,0.20,0.80,reflection,
206,Alien Manifestation,Keiichi Okabe,video game ost,dark,0.70,140,0.22,0.60,0.05,0.85,0.00,none,
207,To Zanarkand,Nobuo Uematsu,video game ost,peaceful,0.22,66,0.55,0.18,0.98,0.99,0.00,none,
208,One-Winged Angel,Nobuo Uematsu,video game ost,intense,0.90,152,0.18,0.42,0.45,0.65,0.00,none,
209,Aerith's Theme,Nobuo Uematsu,video game ost,peaceful,0.25,72,0.62,0.22,0.95,0.98,0.00,none,
210,Corridors of Time,Yasunori Mitsuda,video game ost,peaceful,0.35,90,0.72,0.45,0.80,0.95,0.00,none,
211,Halo Theme Mjolnir Mix,Martin O'Donnell,video game ost,epic,0.85,144,0.48,0.58,0.25,0.85,0.00,none,
212,Never Forget,Martin O'Donnell,video game ost,melancholic,0.30,75,0.45,0.25,0.85,0.95,0.00,none,
213,Apotheosis,Austin Wintory,video game ost,epic,0.55,68,0.68,0.35,0.88,0.98,0.00,none,
214,Last Surprise,Shoji Meguro,video game ost,fun,0.85,148,0.72,0.80,0.08,0.40,0.60,struggle,
215,Dragonborn,Jeremy Soule,video game ost,epic,0.80,125,0.52,0.50,0.45,0.82,0.00,none,
216,Tank!,Yoko Kanno,anime ost,fun,0.78,124,0.75,0.80,0.25,0.70,0.00,none,
217,A Cruel Angel's Thesis,Yoko Takahashi,anime ost,epic,0.82,158,0.70,0.80,0.10,0.10,0.70,motivation,
218,Guren no Yumiya,Linked Horizon,anime ost,intense,0.90,162,0.55,0.72,0.05,0.05,0.80,struggle,
219,Unravel,TK from Ling Tosite Sigure,anime ost,emotional,0.75,128,0.38,0.65,0.12,0.08,0.85,reflection,
220,You Say Run,Yuki Hayashi,anime ost,intense,0.92,162,0.72,0.72,0.08,0.65,0.00,none,
221,Libera Me From Hell,Taku Iwasaki,anime ost,intense,0.88,178,0.50,0.65,0.08,0.25,0.65,struggle,
222,Blue Bird,Ikimono-gakari,anime ost,happy,0.78,152,0.78,0.82,0.10,0.05,0.65,motivation,
223,Colors,Flow,anime ost,fun,0.80,168,0.75,0.82,0.10,0.05,0.55,celebration,
224,The WORLD,Nightmare,anime ost,dark,0.82,155,0.35,0.70,0.08,0.05,0.75,darkness,
225,Departure,Yoshihisa Hirano,anime ost,epic,0.80,140,0.62,0.70,0.15,0.55,0.00,none,
226,One More Time,Daft Punk,house,fun,0.92,123,0.90,0.90,0.05,0.25,0.40,celebration,
227,Sandstorm,Darude,trance,intense,0.95,136,0.72,0.88,0.03,0.95,0.00,none,
228,Music Is Math,Boards of Canada,IDM,reflective,0.42,80,0.52,0.45,0.52,0.95,0.00,none,
229,Dayvan Cowboy,Boards of Canada,IDM,epic,0.55,105,0.58,0.55,0.42,0.88,0.00,none,
230,Strobe,deadmau5,progressive house,emotional,0.60,128,0.52,0.65,0.05,0.95,0.00,none,
231,Scary Monsters and Nice Sprites,Skrillex,dubstep,aggressive,0.92,140,0.48,0.82,0.03,0.92,0.00,none,
232,Inner City Life,Goldie,drum and bass,dark,0.70,168,0.38,0.72,0.05,0.65,0.35,reflection,
233,Firestarter,The Prodigy,big beat,aggressive,0.92,166,0.40,0.80,0.05,0.55,0.50,darkness,
234,Born Slippy .NUXX,Underworld,trance,intense,0.85,138,0.55,0.80,0.05,0.45,0.50,abstract,
235,Enjoy the Silence,Depeche Mode,synth-pop,moody,0.55,115,0.38,0.60,0.08,0.28,0.65,reflection,
236,Macintosh Plus - Floral Shoppe,Vektroid,vaporwave,nostalgic,0.30,105,0.62,0.48,0.05,0.55,0.15,nostalgia,
237,Feel It All Around,Washed Out,chillwave,nostalgic,0.40,90,0.65,0.58,0.42,0.65,0.20,nostalgia,
238,Gold Skies,Washed Out,chillwave,hopeful,0.52,98,0.72,0.62,0.38,0.60,0.30,love,
239,Immaterial,SOPHIE,hyperpop,fun,0.88,135,0.72,0.85,0.05,0.62,0.30,motivation,
240,Retrograde,James Blake,art pop,dark,0.38,75,0.28,0.32,0.32,0.12,0.70,reflection,
241,Overgrown,James Blake,art pop,melancholic,0.32,72,0.25,0.28,0.38,0.15,0.65,loss,
242,Play Date,Melanie Martinez,alternative pop,dark,0.55,92,0.42,0.52,0.28,0.10,0.75,love,
243,Ring of Fire,Johnny Cash,country,fun,0.70,134,0.75,0.72,0.55,0.05,0.65,love,
244,Hurt,Johnny Cash,country,sad,0.25,60,0.18,0.25,0.78,0.05,0.90,struggle,
245,Jolene,Dolly Parton,country,emotional,0.55,120,0.38,0.60,0.72,0.05,0.88,loss,
246,I Will Always Love You,Dolly Parton,country,sad,0.32,67,0.32,0.38,0.75,0.05,0.90,loss,
247,Ho Hey,The Lumineers,indie folk,happy,0.68,115,0.80,0.72,0.75,0.05,0.60,love,
248,Man of Constant Sorrow,Soggy Bottom Boys,bluegrass,reflective,0.55,130,0.45,0.62,0.85,0.20,0.70,struggle,
